,Title,Link
200,"Supuesto 07, LimpieSA",https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
201,Fuentes de financiacion,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
202,Supuesto 08. Amortizacion,https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
203,Supuesto 09. Cierre y apertura,https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
204,Supuesto 10. Cobros y pagos,https://www.youtube.com/embed/0QR6v0YrznA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
205,Supuesto 11. Conciliacion bancaria,https://www.youtube.com/embed/v_gciuu8t2E?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
206,Supuesto 12. IVA,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
207,Supuesto 13. IVA continuacion,https://www.youtube.com/embed/HKmGtifHqIU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
208,Supuesto 14. Nominas,https://www.youtube.com/embed/3OKVDv_8Dvg?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
209,Supuesto 15. Proveedores,https://www.youtube.com/embed/3sp0KPLeSKk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
210,Supuesto 16. Clientes,https://www.youtube.com/embed/PZCfpbDQNZA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
211,Copia y restaura datos,https://www.youtube.com/embed/3EVAtJl_BrA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
212,Supuesto 17. Efectos comerciales,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
213,Supuesto 18. Retenciones,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
214,Supuesto 19. Constitucion de sociedad,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
215,"Supuesto 20. Nominas, seguros sociales, irpf",https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
216,Supuesto 21. IVA Repercutido,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
217,Supuesto 22. IVA Soportado,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
218,Supuesto 23. IVA por trimestres,https://www.youtube.com/embed/KQ4CYdCc6yw?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
219,Supuesto 24. Diferencias de cambio,https://www.youtube.com/embed/4Q46pJJAQQk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
220,Supuesto 25. Gastos,https://www.youtube.com/embed/CHcXRjd5s1U?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
221,Supuesto 26. Contabilizar nomina,https://www.youtube.com/embed/8Z_q2IThENs?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
222,Supuesto 27. Contabilizar inmovilizado,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
223,Supuesto 28. Contabilizar amortizacion inmovilizado,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
224,Introduccion a Excel,https://www.youtube.com/embed/Li8GeI7XvDU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
225,Funciones basicas,https://www.youtube.com/embed/23mH59Yhu9M?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
226,Graficas basicas,https://www.youtube.com/embed/TGp3k1CccWA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
227,Funciones basicas 02,https://www.youtube.com/embed/Cu5suLAsOUU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
228,Formato condicional,https://www.youtube.com/embed/BuaYFB2e-qY?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
229,Operaciones con textos,https://www.youtube.com/embed/HmOzz-NgnrQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
230,Agenda,https://www.youtube.com/embed/6gCKUNOUcew?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
231,Solver,https://www.youtube.com/embed/dEr-CLcLBIQ?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
232,Analisis de hipotesis,https://www.youtube.com/embed/pgbQ-IKxryc?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
233,Conciliacion bancaria,https://www.youtube.com/embed/KpGdp3Ur3yE?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
234,Tablas dinamicas,https://www.youtube.com/embed/aYxL8cyeH3o?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
235,Graficas dinamicas,https://www.youtube.com/embed/rVUjEp9GAOM?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
236,Facturacion,https://www.youtube.com/embed/0QR6v0YrznA?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
237,Registro horario,https://www.youtube.com/embed/HKmGtifHqIU?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
238,Nominas,https://www.youtube.com/embed/4jUIVxYLFkk?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
239,Etiqueta envios,https://www.youtube.com/embed/3OKVDv_8Dvg?list=PLhr9YdZStgI0KmSD_KugfBldxkj-7_yMw
